;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
0;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0
1;Apartamento;Jardim Botânico;3;2;3;250;8000.0;2350.0;850.0
2;Apartamento;Lagoa;4;3;1;165;8000.0;1810.0;520.0
3;Apartamento;Barra da Tijuca;3;2;1;130;8000.0;2600.0;700.0
4;Apartamento;Barra da Tijuca;4;3;2;460;8000.0;2500.0;1600.0
5;Apartamento;Barra da Tijuca;4;3;4;260;8000.0;2600.0;798.0
6;Apartamento;Ipanema;3;1;1;130;8000.0;1375.0;500.0
7;Apartamento;Leblon;3;2;1;160;8000.0;1483.0;537.0
8;Apartamento;Barra da Tijuca;4;2;1;189;8000.0;2200.0;660.0
9;Apartamento;Botafogo;3;2;1;240;8000.0;2300.0;495.0
10;Apartamento;Barra da Tijuca;5;2;5;330;8000.0;2000.0;5000.0
11;Apartamento;Ipanema;3;1;1;145;8000.0;1510.0;588.0
12;Apartamento;Leblon;3;2;3;182;8000.0;2800.0;0.0
13;Apartamento;Barra da Tijuca;4;2;1;189;8000.0;2000.0;750.0
14;Apartamento;Barra da Tijuca;4;3;4;250;8000.0;3335.0;753.0
15;Apartamento;Barra da Tijuca;4;1;1;170;8000.0;1600.0;0.0
16;Apartamento;Barra da Tijuca;4;3;2;224;8000.0;3614.0;536.0
17;Apartamento;Copacabana;3;1;1;200;8000.0;2000.0;0.0
18;Apartamento;Barra da Tijuca;4;2;3;235;8000.0;2700.0;415.0
19;Apartamento;Jardim Botânico;4;2;2;241;8000.0;2203.0;997.0
20;Apartamento;Barra da Tijuca;4;3;4;250;8000.0;3300.0;0.0
21;Apartamento;Ipanema;2;1;1;112;8000.0;1350.0;0.0
22;Apartamento;Barra da Tijuca;2;2;1;115;8000.0;1800.0;0.0
23;Apartamento;Leblon;3;2;1;140;8000.0;2500.0;4400.0
24;Apartamento;Lagoa;4;1;1;312;8000.0;3160.0;1184.0
25;Apartamento;Leblon;3;2;1;130;8000.0;1700.0;600.0
26;Apartamento;Ipanema;2;1;1;97;8000.0;4700.0;4725.0
27;Apartamento;Barra da Tijuca;3;3;3;206;8000.0;3000.0;0.0
28;Apartamento;Barra da Tijuca;4;2;1;300;8000.0;3200.0;0.0
29;Apartamento;Leblon;4;3;1;1180;8000.0;1500.0;565.0
30;Apartamento;Leblon;2;1;2;162;8000.0;1136.0;519.0
31;Apartamento;Ipanema;3;1;1;137;8000.0;2200.0;450.0
32;Apartamento;Barra da Tijuca;4;2;3;170;8000.0;2000.0;0.0
33;Apartamento;Lagoa;4;3;1;165;8000.0;1721.0;480.0
34;Apartamento;Barra da Tijuca;4;4;4;360;8000.0;3200.0;2000.0
35;Apartamento;Copacabana;3;1;2;150;8000.0;1200.0;340.0
36;Apartamento;Copacabana;3;0;0;160;8000.0;500.0;150.0
37;Apartamento;Botafogo;4;2;1;160;8000.0;2200.0;398.0
38;Apartamento;Ipanema;3;2;1;163;8000.0;3400.0;640.0
39;Apartamento;Ipanema;2;1;1;90;8000.0;4000.0;800.0
40;Apartamento;Ipanema;2;1;2;115;8000.0;2520.0;777.0
41;Apartamento;Barra da Tijuca;3;2;2;200;8000.0;3246.0;0.0
42;Apartamento;Ipanema;4;2;1;270;8000.0;1471.0;593.0
43;Apartamento;Copacabana;4;1;1;380;8000.0;2092.0;0.0
44;Apartamento;Barra da Tijuca;4;3;1;180;8000.0;2400.0;6670.0
45;Apartamento;Barra da Tijuca;4;3;1;190;8000.0;2504.0;667.0
46;Apartamento;Ipanema;2;2;1;153;8000.0;1500.0;0.0
47;Apartamento;Ipanema;3;2;1;160;8000.0;2200.0;420.0
48;Apartamento;Lagoa;4;3;2;225;8000.0;4300.0;980.0
49;Apartamento;Barra da Tijuca;4;3;2;307;8000.0;2400.0;600.0
50;Apartamento;Leblon;2;1;1;110;8000.0;2300.0;282.0
51;Apartamento;Copacabana;3;3;2;207;8000.0;1500.0;620.0
52;Apartamento;Barra da Tijuca;4;3;4;240;8000.0;4877.0;1114.0
53;Apartamento;Leme;3;1;1;110;8000.0;650.0;2620.0
54;Apartamento;Flamengo;3;1;1;230;8000.0;1850.0;450.0
55;Apartamento;Leblon;4;3;4;340;8000.0;3400.0;0.0
56;Apartamento;Ipanema;5;1;3;330;8000.0;1600.0;140.0
57;Apartamento;Barra da Tijuca;3;3;2;255;8000.0;3900.0;0.0
58;Apartamento;Barra da Tijuca;4;3;2;243;8000.0;3100.0;680.0
59;Apartamento;Barra da Tijuca;4;4;4;370;8000.0;4200.0;0.0
60;Apartamento;Barra da Tijuca;4;3;4;262;8000.0;3375.0;693.0
61;Apartamento;Leblon;3;2;3;180;8000.0;3000.0;900.0
62;Apartamento;Leblon;3;1;1;125;8000.0;1900.0;0.0
63;Apartamento;Gávea;4;2;1;130;8000.0;1700.0;300.0
64;Apartamento;Leblon;2;1;2;150;8000.0;1200.0;500.0
65;Apartamento;Barra da Tijuca;4;2;1;189;8000.0;2200.0;650.0
66;Apartamento;Flamengo;3;1;1;250;8000.0;1600.0;729.0
67;Apartamento;Barra da Tijuca;4;3;4;250;8000.0;2850.0;750.0
68;Apartamento;Jardim Botânico;3;2;1;112;8000.0;1776.0;334.0
69;Apartamento;Ipanema;4;2;1;257;8000.0;2800.0;680.0
70;Apartamento;Leblon;3;1;1;188;8000.0;4500.0;620.0
71;Apartamento;Barra da Tijuca;3;2;1;235;8000.0;2782.0;745.0
72;Apartamento;Lagoa;4;4;2;401;8000.0;2211.0;1097.0
73;Apartamento;Jardim Botânico;4;3;1;165;8000.0;2000.0;512.0
74;Apartamento;Barra da Tijuca;4;3;2;320;8000.0;1700.0;904.0
75;Apartamento;Copacabana;4;1;4;240;8000.0;2500.0;600.0
76;Apartamento;Barra da Tijuca;4;3;1;180;8000.0;2400.0;0.0
77;Apartamento;Leblon;3;1;1;160;8000.0;1535.0;467.0
78;Apartamento;Barra da Tijuca;4;3;1;278;8000.0;3300.0;240.0
79;Apartamento;Leblon;4;3;1;170;8000.0;1495.0;564.0
80;Apartamento;Lagoa;4;2;1;150;8000.0;1750.0;3600.0
81;Apartamento;Ipanema;4;2;1;260;8000.0;2700.0;680.0
82;Apartamento;Ipanema;2;1;2;90;8000.0;3832.0;0.0
83;Apartamento;Copacabana;3;1;1;200;8000.0;2000.0;500.0
